,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
38,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.0,3.0,3.1,3.0,3.1,3.1,3.1,3.1,3.0,3.0
39,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.2,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.0,3.0
40,3.0,3.1,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.1,3.0,3.0,3.0,3.1,3.0,3.0,3.0,3.1,3.0,3.0,3.1,3.2,3.0,3.0
41,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.0,3.0,3.1,3.0,3.0,3.0
42,3.1,3.0,3.1,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.0,3.0,2.9
43,3.0,3.0,3.0,3.0,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.0,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,3.1,3.0,3.0
44,3.0,3.0,3.0,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.0,3.0,2.9,3.0,3.0,3.0,3.0,3.0
45,3.1,3.0,3.0,3.1,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
46,3.2,3.1,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.2,3.2,3.1,3.2,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9
47,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.2
48,3.1,3.0,3.1,3.1,3.1,3.3,3.1,3.2,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
49,3.1,3.0,3.0,3.1,3.1,3.1,3.1,3.0,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0
50,3.1,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.1,3.2,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0
51,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.0,2.9
52,3.1,3.0,3.1,3.1,3.0,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.1,2.9,2.9,2.9
53,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9
54,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.0,3.1,3.0,3.1,3.0,3.0,3.0,3.0
